Contains Your Team	 Date	 Match #	 Match Type	 Team Number	 Spectating Team	 Starting Position	 SP-Autonomous	 SP-Off Platform	 SP-Cross Line	 SP-RocketHatchLow	 SP-RocketHatchMid	 SP-RocketHatchHigh	 SP-RocketHatchDropped	 SP-RocketCargoLow	 SP-RocketCargoMid	 SP-RocketCargoHigh	 SP-RocketCargoDropped	 SP-CargoShipHatches	 SP-CargoShipCargo	 CP-Defense	 CP-RocketHatchLow	 CP-RocketHatchMid	 CP-RocketHatchHigh	 CP-RocketHatchDropped	 CP-HatchFromLoadingZone	 CP-RocketCargoLow	 CP-RocketCargoMid	 CP-RocketCargoHigh	 CP-RocketCargoDropped	 CP-CargoFromLoadingZone	 CP-CargoShipHatches	 CP-CargoShipCargo	 EG-Ending Location	 EG-Climbing Help	 Penalties	 Yellow Card	 Red Card	 Red Score	 Blue Score	 Robot Dead Time	 Sandstorm Notes	 Clear Skies Notes		
	2019/03/23 14:28:55	18	Qualification	7461	Blue	Middle	false	true	true	0	0	0	1	0	0	0	0	0	0	false	1	0	0	2	false	0	0	0	0	true	2	0	Low	0	false	false	false	69	47	0				
	2019/03/23 14:37:21	19	Qualification	2910	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	4	0	0	0	true	1	0	0	0	true	1	6	High	0	false	false	false	45	79	0				
	2019/03/23 14:45:59	20	Qualification	3663	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	2	0	0	true	2	2	0	0	true	0	1	High	0	false	false	false	60	65	0				
	2019/03/23 14:52:10	21	Qualification	1258	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	1	0	0	false	0	0	0	0	true	2	0	Low	0	false	false	false	62	64	0				
	2019/03/23 14:59:17	22	Qualification	1983	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	0	false	0	0	0	1	false	0	5	Low	0	false	false	false	39	62	0				
	2019/03/23 15:06:43	23	Qualification	2412	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	false	2	0	0	1	false	0	2	Low	0	false	false	false	31	84	0				
	2019/03/23 15:12:43	24	Qualification	4682	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	64	51	102.177		stayed stuck on the platform the whole time.		
	2019/03/23 15:20:24	25	Qualification	2928	Blue	Middle	false	true	true	0	1	0	0	0	0	0	0	0	0	false	1	1	0	1	false	0	2	0	0	false	0	2	No Climb	0	false	false	false	31	77	0		used the last few seconds to load two cargo in their cargo ship. very efficient and used time wisely		
*	2019/03/23 15:26:21	26	Qualification	492	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	2	0	1	false	2	2	0	0	false	0	0	High	0	false	false	false	57	58	0				
	2019/03/23 15:33:16	27	Qualification	2522	Blue	Middle	false	false	false	0	0	0	0	0	0	0	0	0	0	false	2	2	2	1	false	1	0	0	2	false	0	0	Middle	0	false	false	false	65	68	0				
	2019/03/23 15:39:52	28	Qualification	2928	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	1	2	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	33	84	0				
	2019/03/23 15:46:02	29	Qualification	4682	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	57	17	107.745				
	2019/03/23 16:08:08	30	Qualification	949	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	74	57	0				
	2019/03/23 15:59:19	31	Qualification	4512	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	2	1	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	37	70	0				
	2019/03/23 16:08:03	32	Qualification	2976	Blue	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	1	0	0	0	true	0	0	0	0	false	0	1	Low	0	true	false	false	68	65	0		robot elevator goes down very slow 		
	2019/03/23 16:15:36	33	Qualification	4089	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	2	0	false	0	0	1	0	false	0	2	Middle	0	false	false	false	40	48	0				
	2019/03/23 16:24:02	34	Qualification	4681	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	2	0	0	0	false	1	3	Low	0	true	false	false	65	57	3.568				
	2019/03/23 16:30:24	35	Qualification	3663	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	false	0	0	0	0	true	0	5	High	0	false	false	false	48	65	0				
	2019/03/23 16:42:43	36	Qualification	1778	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	1	0	0	false	2	0	0	0	true	0	1	No Climb	0	false	false	false	65	53	0				
	2019/03/23 16:50:18	37	Qualification	4911	Blue	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	2	0	0	0	false	2	2	0	0	true	0	0	Low	0	false	false	false	42	66	0				
	2019/03/23 16:58:32	38	Qualification	4180	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	1	false	0	0	0	2	true	0	0	Low	0	false	false	false	59	63	0		good at hatches not cargo kinda slow		
	2019/03/23 17:04:14	39	Qualification	4681	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	1	false	1	0	0	0	false	0	0	0	0	true	2	2	Low	0	true	false	false	81	48	0				
	2019/03/23 17:12:08	40	Qualification	5588	Blue	Middle	true	true	true	0	0	0	0	0	0	0	0	0	0	false	1	1	1	0	true	0	0	0	1	false	1	0	Low	0	false	false	false	64	79	0		"low key suss at hat hatches
takes a hot secq"		
	2019/03/23 17:17:10	41	Qualification	3070	Blue	Middle	true	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	64	47	0				
	2019/03/23 17:24:56	42	Qualification	3268	Blue	High	true	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	true	false	false	57	69	0		"what a scrub lord
absolute cracker jack"		
	2019/03/23 17:32:09	43	Qualification	4180	Blue	Low	true	false	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	65	35	0		the drunken robot		
	2019/03/23 17:39:28	44	Qualification	7118	Blue	Low	true	false	true	0	0	0	0	0	0	0	0	0	0	false	1	0	0	4	false	0	0	0	0	true	0	0	No Climb	0	false	false	false	42	69	0		A real Danny DeVito potato of a bot 	 did drop a hatch	
	2019/03/23 17:47:21	45	Qualification	1983	Blue	Middle	true	true	true	1	0	0	0	0	0	0	0	0	0	false	1	0	0	2	false	0	0	0	0	false	2	0	Middle	0	false	false	false	56	67	0		straight up pushed around		
	2019/03/23 17:58:22	46	Qualification	4309	Blue	Low	false	false	true	0	0	0	1	0	0	0	0	0	0	false	2	0	0	0	true	0	0	0	0	false	4	0	Low	1	false	false	false	81	87	0		like a rose in the dew helped a buddy climb		
	2019/03/23 18:03:33	47	Qualification	4173	Blue	Middle	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	true	0	0	0	0	false	0	3	Middle	0	false	false	false	68	64	5.981				
	2019/03/23 18:10:11	48	Qualification	7118	Blue	High	false	true	false	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	false	0	0	0	0	false	0	0	Middle	0	false	false	false	56	57	0		May.have died.briefly multiple times. very confusing match		
	2019/03/23 18:16:36	49	Qualification	2412	Blue	Low	false	true	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	1	false	0	3	No Climb	0	false	false	false	59	48	0			 deployed mechanism but no one used it	 dropped hatches
	2019/03/23 18:35:34	51	Qualification	4512	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	1	1	2	false	0	0	0	0	true	0	0	Low	0	false	false	false	43	53	0	"tried to add hat,g to rocket but failed "		 didn't die just wasn't able to score	
	2019/03/23 18:44:19	52	Qualification	4681	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	true	0	0	0	1	false	0	4	Low	0	false	false	false	62	56	0				
	2019/03/23 18:52:33	53	Qualification	4173	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	false	1	0	0	0	true	0	4	No Climb	0	false	false	false	49	61	0				
	2019/03/23 19:07:30	55	Qualification	4089	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	6	High	0	false	false	false	56	72	0	"
"			
	2019/03/23 19:15:22	56	Qualification	5827	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	true	0	0	0	0	true	2	0	High	0	false	false	false	67	55	0				
	2019/03/23 19:21:19	57	Qualification	7627	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	0	0	0	1	false	0	0	0	0	true	3	0	Low	0	false	false	false	69	66	0				
	2019/03/23 19:26:56	58	Qualification	4180	Blue	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	true	0	0	0	1	false	0	0	Low	0	false	false	false	38	49	0				
	2019/03/23 19:33:29	59	Qualification	3070	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	24	69	0				
