a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2046,frc7461,41.61043333333331,17,11,27
frc492,frc2910,frc3786,41.60508333333334,17,1,44
frc492,frc1540,frc360,41.59391666666667,17,30,26
frc492,frc488,frc997,41.587150000000044,17,34,8
frc492,frc2928,frc7034,41.58141666666668,17,40,19
frc492,frc360,frc997,41.57981666666669,17,26,8
frc492,frc2557,frc4488,41.57738333333334,17,18,9
frc492,frc4131,frc6831,41.573583333333346,17,33,35
frc492,frc4131,frc8248,41.5600833333333,17,33,49
frc492,frc1540,frc3711,41.55568333333337,17,30,21
frc492,frc3218,frc3636,41.53550000000001,17,25,32
frc492,frc2557,frc997,41.53286666666665,17,18,8
frc492,frc2521,frc2930,41.520683333333366,17,16,7
frc492,frc2557,frc4131,41.50548333333337,17,18,33
frc492,frc3218,frc3674,41.48950000000003,17,25,12
frc492,frc2471,frc2928,41.465733333333375,17,3,40
frc492,frc1540,frc4512,41.464249999999986,17,30,13
frc492,frc488,frc7034,41.44200000000002,17,34,19
frc492,frc4125,frc997,41.44183333333337,17,38,8
frc492,frc1595,frc2471,41.43313333333334,17,5,3
frc492,frc3636,frc7461,41.42276666666661,17,32,27
frc492,frc3674,frc4911,41.42091666666665,17,12,6
frc492,frc1425,frc2147,41.40348333333339,17,31,4
frc492,frc2930,frc955,41.40291666666674,17,7,10
frc492,frc2930,frc3711,41.40289999999998,17,7,21
frc492,frc1425,frc2046,41.39333333333334,17,31,11
frc492,frc2471,frc4131,41.39181666666665,17,3,33
frc492,frc2147,frc568,41.38908333333344,17,4,47
frc492,frc2811,frc3711,41.369583333333296,17,15,21
frc492,frc3711,frc4911,41.36825000000004,17,21,6
frc492,frc4131,frc8532,41.36608333333334,17,33,50
frc492,frc2046,frc957,41.36313333333337,17,11,14
frc492,frc2522,frc997,41.3616666666667,17,23,8
frc492,frc2990,frc4911,41.3566666666667,17,28,6
frc492,frc2521,frc2990,41.31675000000001,17,16,28
frc492,frc2046,frc3636,41.291916666666694,17,11,32
frc492,frc2471,frc3711,41.27913333333336,17,3,21
frc492,frc2928,frc2976,41.275833333333324,17,40,2
frc492,frc2557,frc2910,41.27245,17,18,1
frc492,frc1425,frc3711,41.26425,17,31,21
frc492,frc2976,frc7461,41.244083333333386,17,2,27
frc492,frc2046,frc5920,41.2318333333334,17,11,43
frc492,frc2522,frc2976,41.230500000000056,17,23,2
frc492,frc2147,frc3674,41.22590000000001,17,4,12
frc492,frc4488,frc997,41.217083333333214,17,9,8
frc492,frc2976,frc3674,41.20224999999993,17,2,12
frc492,frc957,frc997,41.198483333333314,17,14,8
frc492,frc2471,frc955,41.19238333333335,17,3,10
frc492,frc2046,frc4512,41.18966666666668,17,11,13
frc492,frc4089,frc488,41.18950000000007,17,22,34
frc492,frc2976,frc3786,41.18525000000003,17,2,44
frc492,frc2147,frc5827,41.184316666666646,17,4,29
frc492,frc3663,frc997,41.150050000000114,17,24,8
frc492,frc1540,frc2147,41.11250000000004,17,30,4
frc492,frc2046,frc3674,41.11191666666666,17,11,12
frc492,frc2522,frc2930,41.10383333333331,17,23,7
frc492,frc3218,frc4488,41.10339999999998,17,25,9
frc492,frc1359,frc2046,41.10266666666673,17,41,11
frc492,frc2976,frc4512,41.102250000000005,17,2,13
frc492,frc7034,frc955,41.101149999999905,17,19,10
frc492,frc4131,frc4911,41.0980333333333,17,33,6
frc492,frc1425,frc4089,41.09533333333336,17,31,22
frc492,frc3663,frc957,41.09359999999999,17,24,14
frc492,frc2976,frc957,41.07125000000002,17,2,14
frc492,frc4089,frc6831,41.070250000000044,17,22,35
frc492,frc4131,frc4488,41.05866666666668,17,33,9
frc492,frc3711,frc488,41.054433333333364,17,21,34
frc492,frc2046,frc4488,41.04980000000001,17,11,9
