a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2147,frc7461,69.8366666666666,17,4,27
frc492,frc2147,frc7034,69.79325000000001,17,4,19
frc492,frc1595,frc2471,69.78974999999998,17,5,3
frc492,frc2811,frc955,69.76775000000004,17,15,10
frc492,frc2976,frc7034,69.75166666666668,17,2,19
frc492,frc4512,frc7034,69.7447666666667,17,13,19
frc492,frc2471,frc2930,69.72975000000002,17,3,7
frc492,frc2990,frc4512,69.69530952380948,17,28,13
frc492,frc2046,frc4513,69.63803333333331,17,11,37
frc492,frc2046,frc3674,69.63633333333338,17,11,12
frc492,frc4089,frc4512,69.58750000000002,17,22,13
frc492,frc2930,frc7461,69.51964999999998,17,7,27
frc492,frc4488,frc5827,69.48894999999999,17,9,29
frc492,frc2811,frc2990,69.48843333333339,17,15,28
frc492,frc1425,frc2471,69.47458333333344,17,31,3
frc492,frc3663,frc4488,69.47448333333334,17,24,9
frc492,frc2910,frc4043,69.47113333333334,17,1,48
frc492,frc2976,frc955,69.45000000000005,17,2,10
frc492,frc1899,frc4089,69.39549999999988,17,36,22
frc492,frc2930,frc4488,69.38895000000005,17,7,9
frc492,frc2147,frc2471,69.36391666666675,17,4,3
frc492,frc4488,frc7034,69.32986666666675,17,9,19
frc492,frc2910,frc8248,69.30850000000007,17,1,49
frc492,frc1595,frc7461,69.22416666666663,17,5,27
frc492,frc2811,frc7461,69.19825000000003,17,15,27
frc492,frc2046,frc3711,69.14366666666679,17,11,21
frc492,frc2471,frc2522,69.0832500000001,17,3,23
frc492,frc2811,frc4488,69.04773333333343,17,15,9
frc492,frc3663,frc7034,69.01483333333347,17,24,19
frc492,frc1540,frc2990,69.00620238095233,17,30,28
frc492,frc2557,frc4488,68.99483333333337,17,18,9
frc492,frc2471,frc4488,68.95491666666668,17,3,9
frc492,frc2046,frc5920,68.94191666666673,17,11,43
frc492,frc2521,frc7034,68.90150000000017,17,16,19
frc492,frc2471,frc3663,68.89158333333349,17,3,24
frc492,frc2471,frc5827,68.8312500000001,17,3,29
frc492,frc2046,frc488,68.77416904761904,17,11,34
frc492,frc2990,frc3663,68.70697619047618,17,28,24
frc492,frc3663,frc7461,68.68241666666668,17,24,27
frc492,frc2471,frc4512,68.67983333333338,17,3,13
frc492,frc4125,frc4911,68.63925000000002,17,38,6
frc492,frc5827,frc7034,68.59880000000015,17,29,19
frc492,frc2471,frc3636,68.57308333333332,17,3,32
frc492,frc1425,frc2147,68.53766666666672,17,31,4
frc492,frc4911,frc4915,68.52608333333336,17,6,42
frc492,frc3663,frc955,68.51583333333342,17,24,10
frc492,frc1540,frc955,68.51224999999994,17,30,10
frc492,frc2976,frc3636,68.49274999999996,17,2,32
frc492,frc1425,frc2990,68.4835238095239,17,31,28
frc492,frc3218,frc7461,68.45116666666667,17,25,27
frc492,frc2471,frc2976,68.44625000000003,17,3,2
frc492,frc2471,frc2811,68.44078333333334,17,3,15
frc492,frc2910,frc4131,68.43983333333328,17,1,33
frc492,frc2147,frc3636,68.43491666666661,17,4,32
frc492,frc2976,frc4488,68.43375000000007,17,2,9
frc492,frc2811,frc2930,68.40798333333336,17,15,7
frc492,frc1540,frc4488,68.38516666666669,17,30,9
frc492,frc360,frc4488,68.34266666666679,17,26,9
frc492,frc2990,frc4488,68.33601190476205,17,28,9
frc492,frc2147,frc3218,68.27534523809531,17,4,25
frc492,frc2147,frc2521,68.26281666666672,17,4,16
frc492,frc2147,frc2990,68.25594047619055,17,4,28
frc492,frc4089,frc6350,68.21383333333334,17,22,20
frc492,frc1540,frc2930,68.20758095238091,17,30,7
frc492,frc1425,frc4488,68.19683333333334,17,31,9
frc492,frc4911,frc6350,68.15691666666667,17,6,20
frc492,frc2147,frc2976,68.14658333333338,17,4,2
